Area ,Price,Bedrooms,Bathrooms
1090,599000,4,1
1280,581000,4,4
1650,575000,3,1
1780,568000,2,2
3180,560000,2,2
1860,560000,1,3
3700,540000,1,2
2720,535000,5,2
1880,535000,4,1
1080,530000,5,2
1550,526000,3,1
1170,519950,4,4
1210,515000,4,2
2430,510000,3,4
1210,503000,5,4
1010,500000,3,2
1940,500000,2,4
990,495000,2,3
2656,495000,1,4
2245,492000,1,1
1010,485000,3,3
2180,480500,3,4
820,475000,3,1
1760,460000,2,4
1060,440000,1,3
1350,428000,1,4
1150,425000,4,4
1040,420000,1,2
1770,420000,1,3
1606,417250,1,2
1830,415000,5,2
1320,409500,5,3
1660,405000,4,1
1500,380000,5,2
840,379500,5,3
1830,375000,1,4
1410,365000,3,2
820,361280,4,4
1620,352000,5,3
1010,350000,3,4
1630,339950,2,4
820,339950,5,1
1570,335000,1,1
1040,314950,4,2
1870,314500,5,1
2190,313000,4,1
1220,310000,2,4
1420,310000,2,4
1600,305450,4,2
760,300000,4,4
1600,280000,1,2
1600,275000,5,4
760,265000,3,4
1030,255000,2,1
1250,253000,2,1
820,250000,3,2
1110,249000,4,1
1720,248500,4,3
1400,246000,3,2
1040,245000,1,4
1410,239900,5,4
1920,230000,2,4
1130,226500,1,4
1380,209950,4,2
1490,185000,4,4
1040,160000,5,4
910,100000,5,2
3510,1750000,1,2
1340,1500000,1,4
1910,1310000,4,2
3310,1250000,3,1
1460,1050000,5,4
2190,1040000,1,1
2015,988500,3,4
1780,980000,5,1
1840,930000,2,2
2920,868500,3,4
1910,835000,3,1
1970,830000,3,1
3010,785000,1,3
1390,780000,3,2
2660,753888,3,2
1690,719000,1,1
3290,716500,5,1
1150,712000,2,3
1320,660000,5,3
1160,647500,4,3
1230,636000,2,3
820,615000,1,1
1750,595000,2,4
3160,589900,4,1
2250,569000,2,3
1870,559950,5,1
1050,553650,5,1
1780,545000,2,1
1970,543200,4,2
1220,538000,2,2
2550,537500,3,3
2280,535000,4,3
1170,533000,2,1
1980,530000,1,3
1540,530000,1,2
2430,524000,5,4
1060,515000,4,4
1410,500000,5,4
930,499000,1,1
2310,494000,4,1
2440,489990,5,1
1510,450000,5,4
1020,441750,3,2
980,438000,2,3
1310,437000,3,3
1460,424500,2,1
1470,413450,5,2
1020,405000,4,2
2090,403000,1,4
1290,402000,1,4
1230,385000,2,4
3206,375000,4,2
960,358000,5,1
2150,350000,5,1
1590,349000,4,1
2460,347500,1,1
1480,335000,2,2
1550,330000,3,4
2320,325900,2,3
860,321950,5,1
1890,307000,3,4
1240,297950,4,1
1100,295000,4,2
1920,295000,2,4
1810,270000,5,3
1460,266000,5,2
2020,262000,1,1
1100,260000,1,1
1230,258000,3,4
1390,246000,1,3
1260,245000,2,4
650,235000,1,4
790,230000,5,2
1390,230000,5,1
1190,229000,1,4
1100,228000,5,4
1050,211000,1,4
1490,207000,1,4
720,205000,1,1
980,134000,3,1
520,82500,1,1
3000,2400000,2,3
6420,2240000,5,3
3390,1700000,5,4
1960,1370000,5,3
4910,1160000,5,2
4230,985000,2,2
3750,920000,5,2
3560,851000,4,3
2560,839900,4,3
3780,833000,4,2
3540,800000,5,2
1980,782000,3,2
2400,769900,2,4
2790,765000,4,2
2950,759000,1,3
2000,742500,1,3
2200,705000,1,3
1620,610000,4,3
2260,604000,3,3
2430,590000,2,2
2400,585000,1,3
2660,583000,2,2
2840,580000,3,1
1370,566000,4,1
2470,565000,2,3
2840,557000,3,4
2330,542500,4,3
1450,536500,2,2
1300,536000,4,4
2340,532000,1,4
2030,525000,4,4
1400,511555,1,4
2100,505000,4,3
1300,491300,3,3
1130,490000,3,3
1410,481450,4,4
1930,465000,5,4
1150,463000,2,2
1050,460000,2,3
1000,445000,2,2
860,445000,3,3
1270,431000,2,1
1620,428750,1,2
3060,415000,3,2
2600,402500,2,2
1300,387000,3,3
1410,382000,1,4
1340,376000,5,4
1180,360000,5,3
1640,352000,1,4
1780,336900,2,4
1940,330000,2,2
1352,325000,3,4
1470,325000,1,2
798,324000,5,3
1170,323000,4,3
2310,320000,1,4
1160,315000,5,4
1430,312000,3,1
1380,311100,4,2
1060,303500,2,2
1200,290000,2,3
840,280950,4,3
1180,280000,4,1
1390,275000,2,4
1500,270000,5,4
1690,270000,2,3
1510,260000,4,4
1020,260000,2,4
960,255000,4,2
810,255000,1,3
1850,254000,3,2
880,252500,1,2
1220,251000,3,1
2163,248000,3,2
1360,234950,2,3
2000,225000,1,3
1430,224500,5,3
1020,212000,5,1
1160,201500,3,1
720,195000,1,2
1400,875000,5,1
1600,549900,5,2
1270,394950,3,2
2130,320000,4,2
1080,265000,1,1
2160,842500,3,4
1010,368000,5,1
2360,1580000,2,4
1690,1350000,5,4
2560,1320000,2,3
2330,1300000,5,2
3490,1260000,2,2
3890,1230000,5,2
1870,1230000,2,4
1560,1200000,5,4
3720,1080000,2,2
2320,1050000,5,3
3110,1030000,5,4
1800,1020000,1,3
3200,950000,3,1
3290,947500,3,2
2180,947500,5,2
3300,927000,4,1
1350,910000,2,3
3420,900000,3,4
2830,885000,1,4
1650,876650,4,1
1690,870300,1,3
2350,850000,3,2
1620,840000,1,4
3210,809000,4,4
2840,788000,4,2
1720,770000,5,2
3110,751000,1,1
2890,750000,1,4
2620,746000,4,4
1680,734200,4,2
2670,690000,5,1
1200,675000,3,3
1290,660000,5,3
3040,647000,2,1
1570,635000,5,1
1770,630000,1,3
1280,620000,4,4
2040,615000,4,1
1640,610000,5,2
1190,582000,4,2
2560,560000,3,1
1450,540000,4,4
1360,522000,5,2
1030,505000,1,3
1590,505000,3,2
1290,500000,2,1
760,499950,3,2
870,490000,3,2
1190,465000,2,4
1390,453246,3,3
1160,450000,4,2
1480,420000,5,3
2200,410000,5,2
2160,383000,3,4
1300,372500,2,1
670,369000,3,3
1280,368000,3,1
1010,360000,2,1
2380,357000,5,3
910,350000,2,1
1720,341000,1,3
1080,339000,2,3
1940,335000,3,4
1250,330000,4,4
960,315275,1,2
2180,302000,2,3
830,301500,3,2
860,300000,4,1
1830,270000,5,3
1290,265000,5,2
770,255000,5,3
810,235000,4,3
990,225000,2,3
1350,211000,5,4
720,210000,1,3
1460,201000,2,3
700,192000,5,4
1370,185000,3,3
970,156000,5,1
1250,110000,5,2
4570,2560000,4,3
4430,2450000,4,1
3250,2450000,2,3
3120,1900000,3,3
3820,1680000,3,4
2000,1550000,5,1
3530,1400000,1,4
1930,1110000,5,1
4400,1050000,1,2
3490,975000,2,1
2650,870000,1,2
2290,860000,1,2
3150,819900,4,4
2290,799200,3,1
2340,780000,3,3
2440,777000,5,2
1390,771000,4,3
3190,757000,2,2
1090,717000,1,3
2030,700000,2,2
3000,675000,2,4
1870,675000,5,4
1150,665000,2,1
3400,660000,2,2
2740,651000,5,3
2210,650000,3,1
1740,645000,3,4
1370,635000,4,3
1430,628000,1,4
1440,625000,4,4
1710,620000,5,4
870,591000,4,3
2710,591000,1,4
1070,581000,2,3
1190,580000,4,4
1180,575000,1,4
1530,570000,2,3
1440,560000,5,4
1200,550000,5,3
3440,550000,5,4
1680,530000,3,2
1690,530000,1,1
2450,525000,3,2
2360,525000,2,1
1010,525000,3,2
1240,523000,1,3
2790,505000,1,3
2040,502000,2,3
2130,480000,4,4
2260,475000,2,2
1270,465000,2,3
1700,464000,5,4
1390,460000,1,2
3360,455000,5,1
1040,450000,1,3
2450,450000,5,4
960,449500,4,2
2140,435000,2,3
980,415000,5,4
810,413000,5,1
1090,405000,4,1
740,385000,2,3
1190,375000,5,4
3001,373000,4,4
1060,370000,4,2
1490,354901,4,3
2010,350000,5,3
1090,345000,2,4
840,330000,4,4
1350,322500,1,3
1390,319000,2,3
1090,289000,2,3
1950,287600,2,2
1170,287000,1,3
1090,285000,2,4
1280,273000,5,2
1610,267345,2,1
1220,245000,3,1
1900,239950,1,1
650,230000,3,4
1250,225000,4,4
1950,225000,2,4
1040,225000,1,3
1100,225000,4,1
910,155000,4,1
790,90000,2,2
2170,1880000,1,4
2550,1400000,1,3
3110,1220000,2,4
4470,1120000,2,1
2290,1060000,5,2
3810,966000,2,3
2510,955000,4,1
3320,950000,3,1
3100,930000,4,2
2190,925000,1,3
2580,802000,4,2
1700,800000,1,1
2470,773000,4,3
3030,766950,5,1
4490,740000,5,1
3430,740000,3,4
2700,723000,4,4
1360,715000,3,3
3200,707000,4,1
1930,702500,2,3
1830,682000,3,4
2470,633100,4,4
1680,625000,1,3
1760,620000,4,1
1420,607500,2,1
1159,582500,2,2
2240,565000,5,4
1830,562000,3,1
1110,546000,4,1
1360,543000,5,4
1600,543000,2,2
950,542000,3,4
1100,538000,5,3
2450,530000,2,2
1600,525000,3,4
1820,511000,4,4
1450,510000,1,2
2090,499000,2,1
1290,498000,1,1
1850,489200,3,3
1420,486000,5,4
2310,470000,1,4
1060,458000,4,1
2910,450000,4,2
2580,437000,2,3
3040,420000,4,4
840,405100,2,1
860,400000,5,3
830,394475,5,1
860,385000,2,3
1150,372977,5,3
980,372220,3,1
1340,364000,1,4
2100,356000,4,1
1363,349950,3,1
2120,345000,4,1
1970,340000,2,1
1050,339950,2,3
1000,337500,2,2
2220,325000,1,1
1840,317000,1,2
2010,316000,3,4
1050,310000,5,1
1480,310000,5,3
1220,306000,5,1
2110,305495,4,3
1590,305000,2,4
1260,300000,1,2
1250,299000,2,3
700,267800,4,2
1400,266000,1,1
1570,265000,1,2
1150,257200,1,4
2230,253000,3,4
1050,234000,3,2
1340,223000,2,1
1240,215000,4,3
1170,175000,1,3
860,160000,1,4
700,155000,4,4
1100,139000,5,3
3550,2100000,1,3
3200,1260000,3,3
4210,1150000,1,4
2000,1090000,1,1
2900,1000000,1,2
3950,914500,5,4
1670,840000,2,2
1230,839000,5,3
2820,828950,1,2
3030,819995,3,2
3310,803100,4,2
1350,790000,2,2
3190,765000,1,2
3240,749400,2,1
1980,744000,1,1
3150,720000,3,1
3150,695000,5,1
3800,695000,2,1
2060,689900,1,4
1890,640000,5,3
2680,620000,1,3
1550,613000,2,4
2240,592500,3,2
2000,585000,1,1
1440,582800,3,2
2360,580050,4,2
1090,575000,1,4
1600,575000,5,4
1980,550000,3,2
2700,525000,5,3
1840,512500,2,1
2240,497000,5,4
1210,495000,2,2
1520,475000,4,3
1000,467000,5,2
1260,465750,3,3
1410,465000,3,1
1470,455000,4,2
1320,451555,4,3
1230,430000,1,1
1010,423000,3,2
1640,420000,2,3
1340,417000,5,1
1490,412500,3,3
1630,400000,3,4
1120,395300,2,4
2240,390000,2,1
1720,386380,3,2
1250,375000,3,3
2710,370000,4,4
1070,350000,3,3
1400,349950,4,2
1700,349950,2,2
1232,344000,4,4
1340,343000,1,1
1180,342400,2,1
980,340000,3,1
2150,335000,4,3
2150,316500,2,2
880,312500,3,1
1220,312000,5,2
1010,302000,5,1
1220,300000,1,1
850,295000,5,4
1330,280000,3,2
1400,275000,4,1
1010,270000,4,2
1590,263000,2,1
1690,256883,5,1
2070,255000,2,2
1160,252350,5,4
1230,250000,4,3
1490,245000,1,1
700,240000,5,3
1150,225000,4,2
1040,217450,5,1
1160,215000,4,1
1670,204700,1,2
980,197500,3,4
1090,190000,4,3
1150,185000,5,2
1060,174950,3,2
3940,2000000,5,4
3570,1270000,1,2
1220,875000,1,3
3280,862500,5,2
3360,804995,2,1
2370,799000,4,2
1100,785000,2,1
2110,772000,4,2
3120,730100,3,2
2830,725000,2,1
1180,724800,5,3
1700,720000,3,3
3200,675000,1,1
3690,655000,1,4
3160,645000,2,1
1450,620000,3,4
2170,619500,1,3
2720,619000,1,3
2134,611000,2,1
910,605000,4,4
1290,605000,3,4
1520,565000,1,2
2260,551000,1,1
1140,540000,2,2
1260,523000,5,1
2370,522500,3,3
1160,500000,5,4
1450,490000,4,1
1160,490000,5,3
2430,480000,3,3
1000,451000,3,4
1290,446000,4,3
1990,445000,4,3
1970,445000,3,2
2320,437500,3,3
2280,433000,5,3
1200,430000,5,3
2670,425000,2,4
1800,408200,5,1
2740,400000,2,1
940,385000,3,4
1860,379950,5,2
1290,377500,5,4
940,375000,1,4
2790,375000,1,2
900,370000,2,3
1726,363750,2,3
700,350000,2,1
2440,350000,5,2
1980,345000,3,4
720,342000,4,2
1180,341000,5,2
1250,340000,1,4
1170,330000,5,4
1060,317000,4,4
2340,314000,1,4
1560,306500,4,1
1870,306000,2,3
830,282613,1,4
1480,275000,1,3
1510,254000,2,2
1070,252700,3,3
950,250000,4,2
940,249000,4,1
1130,248000,3,2
870,245000,3,3
1400,245000,2,2
1460,239950,2,4
1120,239900,2,4
720,238000,5,2
1050,205000,3,2
1000,180000,1,2
1010,174500,2,4
890,410000,4,3
1940,732000,5,1
1440,575550,2,4
1210,534640,4,1
780,488000,5,1
2480,415000,2,1
1170,352500,5,1
1970,297000,2,4
3740,2100000,5,2
5010,1470000,5,4
3410,1410000,3,3
1680,1220000,2,3
1270,1190000,5,4
2430,1000000,5,3
2200,924000,1,3
1550,885000,2,2
2880,869000,2,4
2640,850000,1,1
2380,818000,3,2
3480,810000,3,4
2140,762000,5,3
2660,755000,2,4
3430,749950,3,2
1230,700000,5,3
1610,690000,4,1
1540,640000,2,2
2460,611000,1,1
3290,602000,5,1
1420,592500,5,1
1190,588000,5,3
2500,575000,5,1
1500,572500,3,3
2110,565000,1,1
1260,560000,3,1
2060,530000,2,4
1480,525000,5,3
1290,524950,1,4
1380,518000,5,1
1550,487250,3,1
1370,485000,3,1
1260,485000,5,2
2200,485000,5,3
980,482500,3,4
3370,480000,4,1
1350,477000,3,3
860,475000,5,2
1700,475000,2,4
1630,464000,3,3
1410,462000,3,3
1250,462000,2,2
1060,461000,5,2
1370,446000,3,4
1800,442500,3,4
1010,440000,4,2
2200,433500,1,1
1920,429000,2,2
770,413500,2,3
2500,411000,3,1
2490,390000,4,1
1150,386591,2,3
1670,373000,5,4
830,368000,4,4
700,367000,4,3
1120,366500,1,4
1290,359950,3,4
1640,350000,1,1
1830,339000,3,4
1580,333000,5,1
2680,320000,3,3
1650,319950,5,3
1370,307000,1,4
1610,305000,1,3
1200,298450,2,1
1380,296500,2,3
1700,290000,3,1
2120,290000,1,3
1040,285000,5,2
810,285000,5,4
1270,280000,2,1
1720,280000,4,4
1120,256500,1,2
1060,251200,1,2
1580,247000,4,1
1470,241000,5,1
910,225000,3,1
1610,215000,5,1
970,215000,5,4
1080,210000,2,2
930,141800,4,4
950,137000,2,1
680,110700,5,1
2550,1800000,5,3
2600,1740000,2,3
1820,1690000,4,2
4380,1300000,5,4
1450,1280000,2,1
2230,1210000,1,3
2180,1130000,3,2
2390,1100000,1,3
1720,978000,1,2
2480,953007,4,3
2260,925000,4,1
1830,879950,1,4
3160,860000,3,4
1570,792000,4,4
2190,785000,4,3
1640,772000,2,1
1760,765000,1,1
1630,760000,3,1
1270,755000,4,3
2770,749950,5,4
3230,730000,3,2
1040,710000,3,3
1680,700000,2,3
2650,699000,3,2
2690,675000,5,1
1990,675000,5,4
2150,639000,4,3
3550,625000,4,2
2480,620000,5,1
1700,619500,5,3
1860,615000,3,2
2660,599950,4,2
2890,598000,4,2
860,575000,5,2
1190,570000,4,4
3050,555000,4,4
2830,551000,2,1
1540,525000,4,3
2040,520000,4,4
1820,519900,3,1
2670,515000,1,1
1020,507500,5,4
1210,500000,5,1
3200,499950,4,3
1250,494000,3,4
1010,490000,1,2
3280,490000,3,1
840,483945,3,3
1180,480000,1,4
1260,479000,2,2
1150,475000,2,1
1040,467000,3,3
1470,458000,2,4
1210,452000,4,4
2060,450000,5,1
1300,440000,2,2
1270,440000,5,1
1510,439000,4,3
1200,430000,1,2
2800,426000,1,3
970,423000,2,2
1050,415000,4,4
1680,415000,5,1
1800,409316,4,1
2430,405000,2,3
1730,396675,2,4
1080,395000,3,4
1190,390000,3,4
1320,387500,5,2
960,387000,2,4
1490,385000,2,2
1700,384000,5,3
2800,380000,5,3
1380,380000,5,3
1150,376000,2,3
1590,372500,4,2
2220,350000,5,2
2800,345600,2,4
1240,345000,5,1
1060,335000,1,1
860,330000,1,2
1180,330000,4,4
2303,329995,3,1
2170,329900,3,4
830,329000,5,4
1880,326000,4,3
1170,325000,5,1
1480,320000,5,3
1140,315000,3,3
790,315000,5,2
1092,309000,1,3
1220,305000,4,3
1090,300000,2,1
1060,300000,4,2
2860,300000,5,4
740,299950,3,3
1560,291000,2,2
1280,290000,5,1
2090,289000,3,2
1220,288400,5,3
870,271310,1,1
790,268500,3,4
1570,263000,5,1
1990,260000,5,3
1490,259900,1,1
1320,259000,5,1
1160,250000,1,4
1500,250000,2,4
960,243000,2,4
1090,219950,5,1
1180,210000,3,1
1700,206000,3,3
1050,200000,1,1
760,194000,5,4
950,192500,2,3
1140,120750,4,1
3745,2700000,3,1
3690,1580000,4,2
4460,1550000,2,3
3360,1510000,5,3
2060,1220000,1,3
2760,1190000,2,2
2680,1130000,2,4
1890,1070000,4,4
3700,1030000,3,4
2170,1000000,3,2
4850,975000,5,2
1130,970000,1,1
3570,950000,5,4
1970,895000,5,4
3488,815000,2,3
2830,744000,4,4
2020,720000,2,3
3400,712000,3,1
3010,700000,4,1
2780,700000,4,1
1700,691000,4,1
1590,668750,1,3
1670,655000,4,3
1500,635000,4,4
2630,625000,1,3
2450,619420,2,1
2360,600000,4,2
2230,600000,2,2
2910,589000,5,2
2540,567000,2,2
2020,556000,2,1
1600,556000,5,4
2010,542500,1,2
1300,540000,2,1
1000,540000,3,1
1900,535800,5,1
920,535000,2,1
1510,525000,2,4
950,525000,5,3
3290,520000,2,3
1900,512500,4,4
1670,495000,5,2
840,475000,2,3
850,452000,5,2
1070,450000,3,2
1220,442000,1,2
1150,430000,2,4
2550,430000,5,3
1860,429000,2,3
960,420850,5,1
1440,413800,3,1
1570,405000,5,3
1540,396450,3,4
1300,389999,3,3
1120,385500,4,4
2880,382000,4,4
2000,374000,4,4
2150,368250,5,1
550,360000,2,1
1530,360000,2,1
980,350000,1,4
1050,344500,5,3
2220,334990,4,1
1800,332500,5,1
1250,330000,5,1
990,325000,2,1
2000,318989,5,4
970,300000,2,3
2720,299900,2,3
790,299800,5,2
1870,288400,1,2
1320,285000,1,2
2030,275000,2,3
860,270000,5,2
2220,260000,3,4
1570,256750,3,4
1060,255000,5,1
1170,250000,1,1
1140,249900,4,1
1780,246000,1,2
1330,240000,4,2
1930,230000,1,1
1396,225000,3,4
1060,220000,4,2
2160,220000,2,1
1020,218000,1,4
1240,210000,2,1
1160,200000,5,3
2030,199000,2,1
990,195000,5,4
1080,195000,3,1
1100,189650,5,4
1230,175000,5,1
1010,150000,3,1
5060,2150000,3,4
1820,1600000,5,1
1090,1180000,5,1
2830,1170000,5,3
4100,1150000,1,4
2100,1080000,4,1
3440,1050000,4,3
3030,1050000,1,3
3860,1050000,3,3
4260,1000000,5,3
2080,940000,2,3
1660,926300,2,1
2240,910000,1,1
3090,850000,4,3
1410,805000,1,4
2350,770000,4,2
2930,749000,5,2
1100,677000,2,1
2600,665000,4,2
2450,660000,1,2
2670,657500,5,3
1370,657000,5,1
2860,655000,4,3
1130,648360,5,3
1860,635700,5,1
1350,625000,3,2
2980,622500,5,2
1720,604700,2,3
1040,600000,3,2
1370,592500,5,4
1500,585000,1,2
1430,555000,2,1
1220,505000,3,2
1510,503000,5,2
780,494400,1,3
1640,492000,4,1
1320,482000,3,4
3250,480000,2,3
1240,475000,5,2
1090,432000,3,3
1100,432000,2,2
1430,431500,1,1
2450,430000,3,2
1240,430000,1,2
1950,408000,5,2
1040,400000,5,3
590,398000,5,1
3140,389950,4,4
1250,385000,1,3
1060,380000,2,4
2420,380000,2,2
800,373500,4,4
2250,370000,1,2
1100,361000,4,3
1360,359000,3,3
1060,356000,2,3
1280,355000,1,4
1060,353250,5,4
550,353000,4,1
2052,349900,2,2
1220,348580,2,1
1070,337000,1,3
1300,330000,5,2
3150,330000,1,3
1750,324000,3,1
1347,321000,1,3
1110,320000,5,4
798,320000,5,4
1070,319950,1,3
2320,307000,1,4
1400,305000,4,4
1040,301350,3,1
2040,300000,2,4
2760,300000,5,2
980,295000,1,2
880,275000,2,2
1990,273000,2,1
840,270000,4,4
1550,259000,4,4
1720,254500,5,1
940,249950,5,4
1040,245000,4,2
1980,243500,4,4
1720,240000,4,1
740,235750,5,2
910,219900,5,1
870,180000,2,3
900,180000,5,1
1020,180000,4,2
1160,168000,3,3
820,150000,4,1
3060,1610000,2,4
1860,1330000,2,3
4740,1200000,4,2
4380,1050000,3,1
2060,980000,2,4
3400,950000,2,2
1420,945000,2,4
1570,902000,2,2
4080,900000,1,1
4220,799950,3,3
3500,788600,5,3
2380,782000,3,4
2390,735000,5,4
2560,675000,5,3
1590,670500,5,2
1320,665000,1,3
1240,662990,5,3
1690,661254,5,1
1200,648475,5,2
940,641000,4,2
2600,625000,5,4
1230,607000,2,3
1000,606000,5,3
1410,599000,5,1
830,595000,2,2
1670,585000,3,3
1470,580000,5,2
3840,556000,2,4
2210,554820,1,4
1080,552000,3,4
2510,550000,5,1
1830,550000,5,1
2830,549900,3,2
2210,535000,2,2
944,530000,3,4
820,527550,5,1
960,526000,5,1
1140,515000,4,3
1140,498000,1,3
1280,478000,5,3
1190,467100,4,1
2430,465425,1,1
1120,464600,4,4
820,462000,4,4
1170,460000,1,2
1560,449950,2,3
1630,445000,1,2
1280,440000,2,4
2380,439950,1,4
1010,433000,2,3
1110,416000,1,1
1650,410000,2,3
2030,404000,1,4
1540,402000,5,1
2420,399500,3,3
2440,388000,2,4
1200,383000,1,2
800,379000,1,4
1320,377691,1,4
750,375000,1,4
1270,360000,1,3
1220,355000,1,3
1370,354800,2,1
1010,350000,2,4
1240,335000,1,2
1410,334000,4,4
1120,325000,5,1
780,306000,3,4
1960,300000,3,3
1340,300000,4,2
1930,275000,1,4
1310,258000,2,1
1490,255000,3,1
1450,244000,1,3
1230,235000,5,2
1010,235000,5,2
1300,225000,4,1
960,218000,5,3
1350,200000,2,2
1300,175000,5,1
1700,149000,5,1
1080,132500,4,2
580,90000,4,4
430,80000,2,1
4580,2000000,4,1
5584,1680000,2,1
3670,820000,3,4
1010,501000,3,4
1740,496700,5,1
1370,479000,5,4
2460,440500,5,2
1340,372000,2,1
2670,347000,4,3
1260,245000,5,2
720,199000,5,4
1820,675000,2,2
1620,355300,2,1
1640,325000,3,1
1560,295000,5,3
1570,195000,1,1
2130,880000,3,3
